Description: CO2 (13K)
      freq [cm-1]    absorbance      imag pt (k)       real pt (n)
       427.16210       0.0000000  -3.0000000e-06       1.2554940
       427.40320       0.0000000  -1.3000000e-05       1.2555110
       427.64430       0.0000000      -0.0000000       1.2555390
       427.88530       0.0000000  -9.0000000e-06       1.2555410
       428.12640       0.0000000  -7.0000000e-06       1.2555780
       428.36750       0.0000000  -5.0000000e-06       1.2555790
       428.60850       0.0000000  -1.4000000e-05       1.2556090
       428.84960       0.0000000  -1.3000000e-05       1.2556260
       429.09060       0.0000000  -1.0000000e-05       1.2556560
       429.33170       0.0000000  -8.0000000e-06       1.2556670
       429.57280       0.0000000  -5.0000000e-06       1.2556940
       429.81380       0.0000000  -5.0000000e-06       1.2557050
       430.05490       0.0000000      -0.0000000       1.2557320
       430.29600       0.0000000  -1.0000000e-06       1.2557400
       430.53700       0.0000000   3.0000000e-06       1.2557640
       430.77810       0.0000000  -8.0000000e-06       1.2557700
       431.01910       0.0000000  -3.0000000e-06       1.2558100
       431.26020       0.0000000  -2.0000000e-06       1.2558070
       431.50130       0.0000000  -1.1000000e-05       1.2558480
       431.74230       0.0000000   2.0000000e-06       1.2558550
       431.98340       0.0000000  -6.0000000e-06       1.2558840
       432.22450       0.0000000   5.0000000e-06       1.2558960
       432.46550       0.0000000  -1.0000000e-06       1.2559150
       432.70660       0.0000000   1.0000000e-06       1.2559320
       432.94760       0.0000000   2.0000000e-06       1.2559510
       433.18870       0.0000000  -7.0000000e-06       1.2559650
       433.42970       0.0000000  -4.0000000e-06       1.2559990
       433.67080       0.0000000  -3.0000000e-06       1.2560090
       433.91190       0.0000000  -1.0000000e-06       1.2560390
       434.15300       0.0000000   1.0000000e-06       1.2560480
       434.39400       0.0000000   4.0000000e-06       1.2560760
       434.63510       0.0000000   5.0000000e-06       1.2560780
       434.87610       0.0000000  -4.0000000e-06       1.2561080
       435.11720       0.0000000  -1.0000000e-06       1.2561190
       435.35820       0.0000000  -9.0000000e-06       1.2561460
       435.59930       0.0000000  -8.0000000e-06       1.2561650
       435.84040       0.0000000  -4.0000000e-06       1.2561930
       436.08150       0.0000000  -3.0000000e-06       1.2562000
       436.32250       0.0000000  -1.2000000e-05       1.2562290
       436.56360       0.0000000  -1.0000000e-05       1.2562490
       436.80460       0.0000000  -7.0000000e-06       1.2562760
       437.04570       0.0000000  -6.0000000e-06       1.2562890
       437.28670       0.0000000  -4.0000000e-06       1.2563180
       437.52780       0.0000000  -1.0000000e-06       1.2563260
       437.76890       0.0000000  -9.0000000e-06       1.2563520
       438.00990       0.0000000  -7.0000000e-06       1.2563760
       438.25100       0.0000000   6.0000000e-06       1.2563970
       438.49210       0.0000000  -4.0000000e-06       1.2563990
       438.73310       0.0000000  -1.1000000e-05       1.2564340
       438.97420       0.0000000  -1.0000000e-05       1.2564510
       439.21520       0.0000000  -7.0000000e-06       1.2564820
       439.45630       0.0000000  -6.0000000e-06       1.2564940
       439.69740       0.0000000  -3.0000000e-06       1.2565250
       439.93840       0.0000000  -1.0000000e-06       1.2565310
       440.17950       0.0000000  -8.0000000e-06       1.2565600
       440.42060       0.0000000  -7.0000000e-06       1.2565780
       440.66160       0.0000000  -4.0000000e-06       1.2566070
       440.90270       0.0000000  -3.0000000e-06       1.2566190
       441.14370       0.0000000  -1.0000000e-06       1.2566470
       441.38480       0.0000000       0.0000000       1.2566560
       441.62590       0.0000000  -6.0000000e-06       1.2566830
       441.86690       0.0000000  -6.0000000e-06       1.2567020
       442.10800       0.0000000  -1.0000000e-06       1.2567250
       442.34910       0.0000000  -1.2000000e-05       1.2567380
       442.59010       0.0000000  -8.0000000e-06       1.2567760
       442.83120       0.0000000  -6.0000000e-06       1.2567870
       443.07220       0.0000000  -4.0000000e-06       1.2568150
       443.31330       0.0000000  -1.2000000e-05       1.2568250
       443.55440       0.0000000  -9.0000000e-06       1.2568700
       443.79540       0.0000000   4.0000000e-06       1.2568730
       444.03650       0.0000000  -5.0000000e-06       1.2568990
       444.27760       0.0000000  -4.0000000e-06       1.2569130
       444.51860       0.0000000  -1.1000000e-05       1.2569420
       444.75970       0.0000000  -9.0000000e-06       1.2569640
       445.00070       0.0000000  -6.0000000e-06       1.2569920
       445.24180       0.0000000  -5.0000000e-06       1.2570080
       445.48290       0.0000000  -1.0000000e-06       1.2570360
       445.72390       0.0000000  -1.0000000e-06       1.2570490
       445.96500       0.0000000   3.0000000e-06       1.2570740
       446.20610       0.0000000  -8.0000000e-06       1.2570850
       446.44710       0.0000000  -3.0000000e-06       1.2571250
       446.68820       0.0000000  -2.0000000e-06       1.2571280
       446.92920       0.0000000  -9.0000000e-06       1.2571680
       447.17030       0.0000000   2.0000000e-06       1.2571800
       447.41140       0.0000000  -3.0000000e-06       1.2572060
       447.65240       0.0000000  -4.0000000e-06       1.2572190
       447.89350       0.0000000  -1.0000000e-05       1.2572550
       448.13460       0.0000000   2.0000000e-06       1.2572710
       448.37560       0.0000000  -5.0000000e-06       1.2572920
       448.61670       0.0000000  -4.0000000e-06       1.2573150
       448.85770       0.0000000  -2.0000000e-06       1.2573370
       449.09880       0.0000000  -1.0000000e-05       1.2573560
       449.33990       0.0000000  -7.0000000e-06       1.2573880
       449.58090       0.0000000  -7.0000000e-06       1.2574060
       449.82200       0.0000000  -2.0000000e-06       1.2574310
       450.06300       0.0000000  -1.2000000e-05       1.2574460
       450.30410       0.0000000  -8.0000000e-06       1.2574840
       450.54520       0.0000000  -7.0000000e-06       1.2574980
       450.78620       0.0000000  -4.0000000e-06       1.2575300
       451.02730       0.0000000  -3.0000000e-06       1.2575440
       451.26840       0.0000000       0.0000000       1.2575710
       451.50940       0.0000000  -8.0000000e-06       1.2575850
       451.75050       0.0000000  -4.0000000e-06       1.2576230
       451.99150       0.0000000  -3.0000000e-06       1.2576350
       452.23260       0.0000000   1.0000000e-06       1.2576640
       452.47370       0.0000000  -8.0000000e-06       1.2576760
       452.71470       0.0000000  -4.0000000e-06       1.2577160
       452.95580       0.0000000  -4.0000000e-06       1.2577250
       453.19690       0.0000000  -3.0000000e-06       1.2577630
       453.43790       0.0000000       0.0000000       1.2577700
       453.67900       0.0000000  -6.0000000e-06       1.2578050
       453.92000       0.0000000  -5.0000000e-06       1.2578210
