600.0037	-2E-4
600.2448	2E-4
600.4858	1E-4
600.7269	-4E-4
600.968	-8E-4
601.209	-7E-4
601.4501	-3E-4
601.6912	1E-4
601.9323	2E-4
602.1733	2E-4
602.4144	4E-4
602.6554	0.0012
602.8965	0.0024
603.1375	0.0033
603.3786	0.0027
603.6196	7E-4
603.8607	-0.0011
604.1018	-1E-3
604.3428	6E-4
604.5839	0.002
604.825	0.0021
605.066	0.0018
605.3071	0.0022
605.5482	0.0035
605.7892	0.0046
606.0303	0.0049
606.2714	0.0049
606.5124	0.0053
606.7535	0.0057
606.9945	0.0056
607.2356	0.005
607.4766	0.0045
607.7177	0.0048
607.9588	0.0057
608.1998	0.0067
608.4409	0.0075
608.6819	0.008
608.923	0.008
609.1641	0.0078
609.4052	0.0072
609.6462	0.0065
609.8873	0.0058
610.1284	0.0049
610.3694	0.0042
610.6105	0.0041
610.8515	0.0048
611.0926	0.0061
611.3336	0.0071
611.5747	0.0077
611.8158	0.0083
612.0568	0.0093
612.2979	0.01
612.5389	0.0094
612.78	0.0076
613.0211	0.0058
613.2621	0.0053
613.5032	0.0062
613.7443	0.0076
613.9854	0.0091
614.2264	0.0106
614.4675	0.0124
614.7085	0.0142
614.9496	0.0154
615.1906	0.0155
615.4317	0.0147
615.6728	0.0138
615.9138	0.0137
616.1549	0.014
616.3959	0.014
616.637	0.0136
616.8781	0.0131
617.1191	0.0127
617.3602	0.0116
617.6013	0.0097
617.8423	0.008
618.0834	0.0079
618.3245	0.0097
618.5655	0.0119
618.8066	0.0131
619.0476	0.0128
619.2887	0.0118
619.5298	0.0112
619.7708	0.0118
620.0119	0.0133
620.2529	0.0149
620.494	0.0159
620.735	0.0165
620.9761	0.0167
621.2172	0.0162
621.4583	0.0148
621.6993	0.0132
621.9404	0.0127
622.1815	0.0137
622.4225	0.0151
622.6636	0.016
622.9046	0.0161
623.1457	0.0154
623.3868	0.0144
623.6278	0.0137
623.8689	0.0139
624.1099	0.0149
624.351	0.0158
624.592	0.016
624.8331	0.0158
625.0742	0.0159
625.3152	0.0165
625.5563	0.017
625.7974	0.0173
626.0385	0.0177
626.2795	0.0183
626.5206	0.0187
626.7616	0.0184
627.0027	0.0177
627.2438	0.0177
627.4848	0.019
627.7259	0.0206
627.9669	0.0212
628.208	0.0201
628.449	0.0181
628.6901	0.0167
628.9312	0.0167
629.1722	0.0179
629.4133	0.0191
629.6544	0.0199
629.8954	0.0204
630.1365	0.0207
630.3776	0.0208
630.6186	0.0209
630.8597	0.0209
631.1008	0.0212
631.3418	0.0216
631.5829	0.0217
631.8239	0.021
632.065	0.02
632.306	0.0195
632.5471	0.0198
632.7882	0.0207
633.0292	0.0215
633.2703	0.0218
633.5114	0.0216
633.7524	0.0209
633.9935	0.0203
634.2346	0.0203
634.4756	0.0209
634.7167	0.0217
634.9578	0.022
635.1988	0.0218
635.4399	0.0218
635.6809	0.0221
635.922	0.0225
636.163	0.0231
636.4041	0.0242
636.6451	0.0262
636.8862	0.0282
637.1273	0.0287
637.3683	0.0275
637.6094	0.0256
637.8505	0.0248
638.0916	0.0255
638.3326	0.0268
638.5737	0.0274
638.8148	0.0274
639.0558	0.0274
639.2969	0.0278
639.5379	0.0277
639.779	0.0264
640.02	0.0245
640.2611	0.0236
640.5022	0.0249
640.7432	0.0276
640.9843	0.0298
641.2253	0.0306
641.4664	0.0304
641.7075	0.0301
641.9485	0.0301
642.1896	0.0301
642.4307	0.0301
642.6718	0.03
642.9128	0.03
643.1539	0.0301
643.3949	0.0307
643.636	0.0317
643.877	0.0327
644.1181	0.0334
644.3591	0.0333
644.6002	0.0326
644.8413	0.0318
645.0823	0.0314
645.3234	0.0317
645.5645	0.0323
645.8055	0.0327
646.0466	0.0326
646.2877	0.032
646.5287	0.0313
646.7698	0.0309
647.0109	0.0311
647.2519	0.0321
647.493	0.0333
647.734	0.0337
647.9751	0.033
648.2162	0.0321
648.4572	0.0321
648.6983	0.0328
648.9393	0.0335
649.1804	0.0336
649.4214	0.0336
649.6625	0.0341
649.9036	0.0348
650.1447	0.0352
650.3857	0.0348
650.6268	0.0337
650.8679	0.0326
651.1089	0.0324
651.35	0.0334
651.591	0.035
651.8321	0.0359
652.0731	0.0355
652.3142	0.0349
652.5553	0.0349
652.7963	0.0356
653.0374	0.0363
653.2784	0.0366
653.5195	0.0372
653.7606	0.0381
654.0016	0.0391
654.2427	0.0396
654.4838	0.0396
654.7249	0.0393
654.9659	0.0389
655.207	0.0382
655.448	0.0377
655.6891	0.0377
655.9302	0.0379
656.1712	0.0381
656.4123	0.0379
656.6533	0.0377
656.8944	0.0379
657.1354	0.0388
657.3765	0.0401
657.6176	0.0412
657.8586	0.0421
658.0997	0.0429
658.3408	0.044
658.5818	0.045
658.8229	0.0449
659.064	0.0435
659.305	0.0414
659.5461	0.0399
659.7871	0.0395
660.0282	0.04
660.2693	0.0408
660.5103	0.0414
660.7514	0.0418
660.9924	0.0423
661.2335	0.0431
661.4745	0.0439
661.7156	0.0438
661.9567	0.0428
662.1978	0.0417
662.4388	0.0414
662.6799	0.0421
662.921	0.0427
663.162	0.043
663.4031	0.0431
663.6442	0.0436
663.8852	0.0443
664.1263	0.0445
664.3673	0.0444
664.6084	0.0445
664.8494	0.0451
665.0905	0.0463
665.3315	0.0476
665.5726	0.0486
665.8137	0.0487
666.0547	0.0478
666.2958	0.0465
666.5369	0.0456
666.778	0.0453
667.019	0.0457
667.2601	0.0462
667.5011	0.0465
667.7422	0.0466
667.9833	0.0466
668.2243	0.0468
668.4654	0.0472
668.7064	0.0481
668.9475	0.0492
669.1885	0.0502
669.4296	0.0506
669.6707	0.0503
669.9117	0.0497
670.1528	0.049
670.3939	0.0485
670.6349	0.0484
670.876	0.049
671.1171	0.05
671.3582	0.0508
671.5992	0.0505
671.8403	0.0495
672.0813	0.0488
672.3224	0.0493
672.5634	0.0506
672.8045	0.0521
673.0455	0.0532
673.2866	0.0539
673.5277	0.0541
673.7687	0.0535
674.0098	0.0524
674.2509	0.0516
674.4919	0.0517
674.733	0.0527
674.9741	0.0536
675.2151	0.0539
675.4562	0.0535
675.6973	0.0535
675.9383	0.0543
676.1794	0.0555
676.4204	0.0563
676.6615	0.0562
676.9025	0.0558
677.1436	0.056
677.3847	0.0568
677.6257	0.0575
677.8668	0.0578
678.1078	0.0579
678.3489	0.0581
678.59	0.0582
678.8311	0.0579
679.0721	0.0571
679.3132	0.0567
679.5543	0.057
679.7953	0.0578
680.0364	0.0581
680.2774	0.0576
680.5185	0.0565
680.7595	0.0556
681.0006	0.0557
681.2417	0.0565
681.4827	0.0573
681.7238	0.0578
681.9648	0.0579
682.2059	0.0585
682.447	0.0595
682.688	0.0606
682.9291	0.0611
683.1702	0.0609
683.4113	0.0605
683.6523	0.0605
683.8934	0.0609
684.1344	0.0613
684.3755	0.0613
684.6165	0.061
684.8576	0.0611
685.0987	0.0618
685.3397	0.0626
685.5808	0.063
685.8218	0.0629
686.0629	0.0628
686.304	0.0631
686.545	0.0635
686.7861	0.0636
687.0272	0.0632
687.2682	0.063
687.5093	0.0633
687.7504	0.0636
687.9914	0.0638
688.2325	0.064
688.4735	0.0647
688.7146	0.0659
688.9557	0.0669
689.1967	0.0671
689.4378	0.0663
689.6788	0.0652
689.9199	0.0644
690.1609	0.0643
690.402	0.0647
690.6431	0.0652
