wavenumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
466.00,0.000131,0.000259,0.000382,0.000561,0.000553,0.000566,0.000491,0.000472,0.000521,0.000559,0.000587,0.000623,0.000733,0.000704,0.000819,0.000887,0.000945,0.001017
467.99,0.000133,0.000266,0.000394,0.000595,0.000591,0.000609,0.000531,0.000510,0.000562,0.000604,0.000633,0.000671,0.000791,0.000759,0.000885,0.000958,0.001020,0.001098
469.99,0.000134,0.000273,0.000406,0.000631,0.000632,0.000657,0.000577,0.000554,0.000610,0.000655,0.000686,0.000728,0.000859,0.000823,0.000960,0.001039,0.001107,0.001192
472.01,0.000134,0.000279,0.000416,0.000667,0.000676,0.000710,0.000629,0.000604,0.000665,0.000715,0.000747,0.000793,0.000936,0.000896,0.001047,0.001133,0.001207,0.001300
474.00,0.000134,0.000284,0.000425,0.000704,0.000722,0.000770,0.000691,0.000664,0.000732,0.000786,0.000821,0.000872,0.001030,0.000985,0.001152,0.001247,0.001328,0.001429
476.01,0.000133,0.000287,0.000431,0.000740,0.000770,0.000834,0.000763,0.000735,0.000810,0.000870,0.000910,0.000966,0.001141,0.001092,0.001276,0.001381,0.001471,0.001583
477.99,0.000132,0.000288,0.000434,0.000774,0.000818,0.000904,0.000849,0.000821,0.000905,0.000972,0.001019,0.001081,0.001273,0.001222,0.001424,0.001541,0.001642,0.001767
480.01,0.000130,0.000287,0.000435,0.000805,0.000864,0.000977,0.000948,0.000923,0.001017,0.001092,0.001151,0.001221,0.001431,0.001381,0.001601,0.001733,0.001846,0.001987
482.00,0.000127,0.000285,0.000433,0.000830,0.000908,0.001052,0.001063,0.001044,0.001151,0.001236,0.001312,0.001393,0.001620,0.001575,0.001812,0.001961,0.002089,0.002249
484.00,0.000124,0.000281,0.000428,0.000848,0.000944,0.001124,0.001192,0.001186,0.001307,0.001404,0.001506,0.001599,0.001839,0.001807,0.002057,0.002226,0.002371,0.002553
486.00,0.000121,0.000275,0.000420,0.000858,0.000971,0.001189,0.001333,0.001347,0.001484,0.001594,0.001737,0.001844,0.002089,0.002084,0.002336,0.002529,0.002694,0.002900
488.00,0.000118,0.000268,0.000409,0.000856,0.000984,0.001237,0.001473,0.001517,0.001672,0.001795,0.001993,0.002115,0.002352,0.002391,0.002631,0.002848,0.003033,0.003265
490.00,0.000114,0.000259,0.000396,0.000843,0.000982,0.001265,0.001601,0.001682,0.001854,0.001991,0.002258,0.002397,0.002609,0.002710,0.002918,0.003159,0.003365,0.003622
492.00,0.000110,0.000249,0.000381,0.000819,0.000964,0.001266,0.001695,0.001819,0.002005,0.002153,0.002497,0.002651,0.002821,0.002996,0.003155,0.003415,0.003638,0.003916
494.00,0.000106,0.000239,0.000366,0.000787,0.000932,0.001243,0.001742,0.001904,0.002098,0.002254,0.002670,0.002834,0.002953,0.003204,0.003303,0.003575,0.003808,0.004099
496.01,0.000102,0.000228,0.000349,0.000748,0.000888,0.001194,0.001732,0.001922,0.002118,0.002275,0.002743,0.002912,0.002981,0.003292,0.003334,0.003609,0.003844,0.004138
498.01,0.000098,0.000218,0.000332,0.000707,0.000838,0.001131,0.001674,0.001877,0.002069,0.002222,0.002714,0.002881,0.002912,0.003257,0.003257,0.003525,0.003755,0.004042
500.00,0.000094,0.000208,0.000316,0.000664,0.000786,0.001059,0.001578,0.001779,0.001961,0.002106,0.002590,0.002750,0.002760,0.003108,0.003086,0.003341,0.003558,0.003831
502.01,0.000091,0.000198,0.000301,0.000624,0.000734,0.000984,0.001464,0.001654,0.001823,0.001958,0.002415,0.002564,0.002565,0.002898,0.002869,0.003105,0.003308,0.003561
504.01,0.000087,0.000189,0.000287,0.000585,0.000684,0.000911,0.001345,0.001518,0.001673,0.001796,0.002216,0.002352,0.002354,0.002659,0.002633,0.002849,0.003035,0.003268
506.00,0.000084,0.000181,0.000273,0.000549,0.000639,0.000843,0.001230,0.001383,0.001524,0.001637,0.002014,0.002138,0.002145,0.002417,0.002399,0.002597,0.002766,0.002978
508.00,0.000081,0.000173,0.000262,0.000517,0.000598,0.000784,0.001126,0.001261,0.001390,0.001493,0.001830,0.001943,0.001957,0.002196,0.002188,0.002368,0.002523,0.002716
510.00,0.000079,0.000166,0.000251,0.000488,0.000561,0.000729,0.001031,0.001150,0.001267,0.001361,0.001660,0.001762,0.001783,0.001992,0.001994,0.002158,0.002299,0.002475
512.01,0.000076,0.000160,0.000241,0.000463,0.000529,0.000681,0.000949,0.001053,0.001161,0.001247,0.001514,0.001607,0.001634,0.001817,0.001827,0.001978,0.002107,0.002268
514.01,0.000074,0.000155,0.000233,0.000441,0.000501,0.000640,0.000878,0.000970,0.001069,0.001148,0.001387,0.001472,0.001504,0.001664,0.001682,0.001821,0.001940,0.002088
516.00,0.000072,0.000150,0.000225,0.000421,0.000476,0.000604,0.000816,0.000897,0.000989,0.001062,0.001277,0.001356,0.001392,0.001533,0.001556,0.001685,0.001795,0.001932
518.00,0.000071,0.000145,0.000217,0.000403,0.000453,0.000571,0.000761,0.000834,0.000919,0.000987,0.001182,0.001255,0.001294,0.001419,0.001447,0.001566,0.001668,0.001796
519.99,0.000069,0.000141,0.000211,0.000386,0.000433,0.000542,0.000714,0.000780,0.000860,0.000923,0.001102,0.001169,0.001210,0.001322,0.001353,0.001464,0.001560,0.001679
522.00,0.000067,0.000137,0.000205,0.000373,0.000416,0.000518,0.000674,0.000734,0.000808,0.000868,0.001032,0.001096,0.001138,0.001238,0.001273,0.001377,0.001467,0.001579
524.00,0.000066,0.000134,0.000200,0.000360,0.000401,0.000496,0.000639,0.000692,0.000763,0.000820,0.000971,0.001031,0.001074,0.001165,0.001201,0.001300,0.001385,0.001491
526.01,0.000065,0.000131,0.000196,0.000349,0.000387,0.000476,0.000607,0.000656,0.000723,0.000776,0.000917,0.000973,0.001017,0.001100,0.001138,0.001232,0.001312,0.001412
528.01,0.000064,0.000128,0.000192,0.000339,0.000374,0.000458,0.000578,0.000623,0.000686,0.000737,0.000867,0.000921,0.000966,0.001041,0.001080,0.001169,0.001245,0.001341
530.00,0.000063,0.000126,0.000187,0.000329,0.000362,0.000442,0.000554,0.000596,0.000656,0.000705,0.000827,0.000878,0.000924,0.000993,0.001033,0.001118,0.001191,0.001282
532.00,0.000062,0.000124,0.000184,0.000321,0.000352,0.000428,0.000532,0.000570,0.000628,0.000675,0.000790,0.000838,0.000884,0.000948,0.000989,0.001070,0.001140,0.001227
533.99,0.000061,0.000122,0.000181,0.000313,0.000343,0.000415,0.000511,0.000547,0.000602,0.000647,0.000756,0.000802,0.000848,0.000907,0.000948,0.001026,0.001093,0.001177
535.99,0.000061,0.000120,0.000178,0.000307,0.000335,0.000404,0.000493,0.000526,0.000579,0.000622,0.000725,0.000769,0.000816,0.000870,0.000912,0.000987,0.001052,0.001132
538.01,0.000060,0.000118,0.000175,0.000300,0.000327,0.000392,0.000476,0.000506,0.000558,0.000599,0.000696,0.000739,0.000785,0.000835,0.000878,0.000950,0.001012,0.001090
539.99,0.000059,0.000116,0.000173,0.000294,0.000320,0.000383,0.000461,0.000490,0.000540,0.000580,0.000672,0.000713,0.000760,0.000806,0.000849,0.000919,0.000979,0.001054
542.01,0.000059,0.000115,0.000171,0.000289,0.000313,0.000373,0.000446,0.000472,0.000520,0.000559,0.000646,0.000686,0.000732,0.000775,0.000819,0.000887,0.000944,0.001017
544.01,0.000058,0.000114,0.000168,0.000284,0.000307,0.000364,0.000433,0.000458,0.000505,0.000542,0.000626,0.000664,0.000711,0.000751,0.000795,0.000860,0.000916,0.000986
546.00,0.000057,0.000112,0.000166,0.000279,0.000301,0.000357,0.000422,0.000445,0.000490,0.000527,0.000607,0.000644,0.000690,0.000728,0.000772,0.000835,0.000890,0.000958
548.01,0.000057,0.000111,0.000165,0.000275,0.000296,0.000349,0.000410,0.000432,0.000476,0.000511,0.000588,0.000624,0.000670,0.000705,0.000749,0.000811,0.000864,0.000930
549.99,0.000057,0.000110,0.000163,0.000270,0.000290,0.000342,0.000400,0.000420,0.000463,0.000497,0.000571,0.000606,0.000652,0.000685,0.000729,0.000789,0.000840,0.000905
552.00,0.000056,0.000109,0.000161,0.000267,0.000286,0.000336,0.000390,0.000410,0.000452,0.000485,0.000555,0.000590,0.000635,0.000667,0.000711,0.000769,0.000819,0.000882
553.99,0.000056,0.000108,0.000160,0.000263,0.000281,0.000329,0.000380,0.000398,0.000439,0.000471,0.000539,0.000572,0.000618,0.000646,0.000691,0.000748,0.000796,0.000857
555.99,0.000055,0.000107,0.000158,0.000260,0.000277,0.000324,0.000372,0.000389,0.000428,0.000460,0.000525,0.000557,0.000603,0.000630,0.000674,0.000730,0.000777,0.000837
558.00,0.000055,0.000106,0.000157,0.000256,0.000273,0.000318,0.000364,0.000380,0.000418,0.000449,0.000512,0.000543,0.000589,0.000614,0.000659,0.000713,0.000759,0.000817
