wavenumber,thetaR_0,thetaR_1,thetaR_2,thetaR_3,thetaR_4,thetaR_5,thetaR_6,thetaR_7,thetaR_8,thetaR_9,thetaR_10,thetaR_11,thetaR_12,thetaR_13,thetaR_14,thetaR_15,thetaR_16,thetaR_17,thetaR_18,thetaR_19,thetaR_20,thetaR_21,thetaR_22,thetaR_23,thetaR_24,thetaR_25,thetaR_26,thetaR_27,thetaR_28,thetaR_29,thetaR_30
2000.0,15.161757523652653,15.727004412833892,16.314327513049395,16.923869157504765,17.55560185535351,18.209293536831975,18.884468694666552,19.58036548217576,20.295889040863837,21.029561614726294,21.779470376369453,22.543214350289876,23.31785237491603,24.09985469184301,24.8850614685591,25.668652310242546,26.44513153071473,27.208334533925754,27.95146097188103,28.667140227174507,29.34753403387081,29.984479523068007,30.569673534165872,31.094895653680663,31.55226328583306,31.93450749866998,32.23525403063281,32.44929046098659,32.57279895355922,32.60353482088917,32.540934689988795
1998.0019980019981,15.161757523652653,15.727004412833892,16.314327513049395,16.923869157504765,17.55560185535351,18.209293536831975,18.884468694666552,19.58036548217576,20.295889040863837,21.029561614726294,21.779470376369453,22.543214350289876,23.31785237491603,24.09985469184301,24.8850614685591,25.668652310242546,26.44513153071473,27.208334533925754,27.95146097188103,28.667140227174507,29.34753403387081,29.984479523068007,30.569673534165872,31.094895653680663,31.55226328583306,31.93450749866998,32.23525403063281,32.44929046098659,32.57279895355922,32.60353482088917,32.540934689988795
1996.0079840319365,15.16157299529957,15.726681990852656,16.313864885577537,16.92326583176421,17.55485961876229,18.20841698737434,18.883465843597925,19.579248429699646,20.2946747218794,21.02827260686442,21.778135756076164,22.541870574486676,23.31654415567677,24.09863581965867,24.88399552648052,25.66781320725484,26.444603769390806,27.208213116644973,27.95185084426389,28.66815516004152,29.34929485942219,29.98711167025245,30.57330385432839,31.09964859024472,31.558256517272202,31.9418472645497,32.24403042430244,32.459573025375875,32.58463293470469,32.616938407666,32.55589749611845
1994.0179461615155,15.162609839604194,15.728361507837493,16.31624258756428,16.92639918394879,17.558807516385283,18.213239062635502,18.8892215736808,19.585996016323822,20.30246971331705,21.037166236009234,21.788172973744352,22.553087766597,23.32896654731079,24.112274589239757,24.89884468023984,25.683846298163992,26.461770585452005,27.22643650927714,27.97102391529567,28.688139070252088,29.369917555156082,30.008167837891122,30.59455639484187,31.120831848048287,31.579081393180743,31.962008192619702,32.26321400733886,32.477467925235025,32.600940431636026,32.63138291187283,32.568236244150484
1992.0318725099603,15.164703788582445,15.730663953754576,16.31876254588883,16.929144787971556,17.561785677268027,18.21645506879747,18.892678624502757,19.58969468647278,20.30640734611967,21.041336267443675,21.792564193005827,22.55768352503803,23.33374393503211,24.117203607777387,24.90388745054781,25.688956355041572,26.466892321936935,27.231504846052122,27.97596427898862,28.69286776823597,29.374342630224284,30.01219047108361,30.598072896349127,31.123736233544626,31.581268487509927,31.96337713901285,32.263671996221674,32.47693390282626,32.599348516438894,32.62868524638508,32.56440504432964
1990.049751243781,15.16750243982218,15.733191599202263,16.32099236412139,16.93104940033363,17.563337531378426,18.217626928694955,18.893444183209166,19.59002931653859,20.306289002406636,21.040746553569658,21.79148959803341,22.556116829586365,23.3316857754771,24.11466417309474,24.900888268347316,25.685532101491944,26.46309256520921,27.227395606053143,27.97162926001682,28.688409099508462,29.369880936964936,30.007864101882493,30.594036156760705,31.12015652610738,31.578322336268208,31.961245179058597,32.2625331264015,32.47695891698009,32.60069362543449,32.631485959510414,32.56877087890705
1988.0715705765408,15.16741146085483,15.733147484534484,16.32101064882017,16.931148373174313,17.563538596475386,18.217954991076187,18.89392805243775,19.59070211935025,20.307188591412388,21.04191589430387,21.792977111003935,22.55797665759136,23.333977939519826,24.11745457317806,24.904248478949658,25.689538906622357,26.46782717596954,27.23294250629915,27.9780746349383,28.695838819667124,29.378378098052416,30.017506158712163,30.604891737615585,31.13228206700237,31.5917587276792,31.97601466144989,32.27863669529957,32.494374493979564,32.619375212420756,32.651363919649356,32.58975338715541
1986.0973187686195,15.167264522573573,15.732914911201565,16.320693427579485,16.930749173381898,17.563062141084288,18.21740847889893,18.893321632434613,19.59004941593403,20.30650727673004,21.041228299376243,21.792310862314828,22.557365319098817,23.333461632088202,24.117080534222122,24.904071514997096,25.689621681212433,26.468240265904292,27.233764152322344,27.97939011050543,28.697739346056085,29.380959248244995,30.020865718497813,30.609127031407546,31.137486807158215,31.598019506174094,31.98340726483052,32.28722247829818,32.504197082750615,32.63045781466206,32.66370748927256,32.60333582552452
1984.126984126984,15.16835540983287,15.734549776588189,16.32290902648476,16.933581607931757,17.566546066402616,18.221576133498665,18.89820167186611,19.59566553070411,20.31287657941343,21.048359472433386,21.800202068149158,22.566001888107614,23.34281356360992,24.127099869894575,24.914689674256234,25.70074688395593,26.479755206183423,27.24552412639956,27.991221838103257,28.70944074863328,29.392300454487838,30.03159154578266,30.618961134207957,31.14613758352208,31.605187711481683,31.988795106542483,32.290543774870955,32.50518789217761,32.62888680625929,32.65938527748432,32.59612252719578
1982.1605550049555,15.16835540983287,15.734549776588189,16.32290902648476,16.933581607931757,17.566546066402616,18.221576133498665,18.89820167186611,19.59566553070411,20.31287657941343,21.048359472433386,21.800202068149158,22.566001888107614,23.34281356360992,24.127099869894575,24.914689674256234,25.70074688395593,26.479755206183423,27.24552412639956,27.991221838103257,28.70944074863328,29.392300454487838,30.03159154578266,30.618961134207957,31.14613758352208,31.605187711481683,31.988795106542483,32.290543774870955,32.50518789217761,32.62888680625929,32.65938527748432,32.59612252719578
