theta_i_degrees,n0_to_n0p50,n0_to_n0p55,n0_to_n0p60,n0_to_n0p65,n0_to_n0p70,n0_to_n0p75,n0_to_n0p80,n0_to_n0p85,n0_to_n0p90,n0_to_n0p95,n0_to_n1p00,n0_to_n1p05,n0_to_n1p10,n0_to_n1p15,n0_to_n1p20,n0_to_n1p25,n0_to_n1p30,n0_to_n1p35,n0_to_n1p40,n0_to_n1p45,n0_to_n1p50,n0_to_n1p55,n0_to_n1p60,n0_to_n1p65,n0_to_n1p70,n0_to_n1p75,n0_to_n1p80,n0_to_n1p85,n0_to_n1p90,n0_to_n1p95,n0_to_n2p00
0.1,0.03962766376079679,0.04162426395554837,0.043763115242951185,0.046056377993837966,0.04851721135647666,0.05115978322575404,0.05399924208089213,0.05705163146170982,0.060333720385186265,0.06386271310245284,0.06765578875636973,0.07172940536702843,0.07609828324470502,0.08077396151743409,0.08576280105038263,0.09106329421986709,0.09666254907180792,0.10253186294399753,0.10862141962440805,0.11485437470157445,0.121120975686572,0.12727391031034294,0.13312672664646866,0.13845771916676272,0.1430217335050073,0.14657138712339984,0.14888684880892666,0.1498097985448019,0.14927375056859712,0.14732160411282957,0.14410372404038432
0.10898089808980899,0.043186580389475274,0.04536249310821213,0.04769343234921389,0.050192650596357254,0.05287448881085042,0.05575438729590934,0.0588488550054501,0.06217537633978312,0.06575222633231663,0.0695981543403809,0.07373188236015069,0.07817134650392422,0.08293258911434039,0.08802818565466328,0.09346506827116434,0.09924159395831643,0.10534371295898404,0.11174014485164163,0.11837659945617422,0.12516933098256094,0.13199873007155083,0.13870425431265235,0.14508270647242041,0.15089246956286675,0.15586637181785754,0.15973481323962385,0.16225821966102624,0.16326405261395996,0.16267985571610916,0.1605523815833939,0.15704549995742573
0.11796179617961797,0.04674549612366448,0.04910072133937273,0.05162374850797833,0.054328922227054884,0.057231765271587416,0.06034899035418547,0.06369846690480337,0.06729912018592697,0.07117073124948292,0.07533359456156294,0.07980797497475085,0.0846132866972118,0.08976689410814999,0.09528240901067443,0.10116733483687627,0.10741989320358843,0.11402487655325004,0.12094842670437897,0.12813177950236493,0.1354842877630893,0.14287648522831614,0.1501345993005637,0.15703868737501941,0.16332722092337745,0.16871101069291802,0.17289823915206975,0.17562958914426519,0.17671830377794198,0.17608595615369924,0.17378315243770398,0.16998726744719656
0.12694269426942695,0.050304410889651305,0.052838948573090905,0.055554063641163005,0.058465192805844834,0.06158904065680389,0.06494359231719535,0.06854807769446675,0.07242286291510187,0.07658923505180759,0.08106903368221062,0.08588406651865352,0.09105522586912991,0.09660119815395828,0.10253663152108852,0.10886960069353498,0.11559819191504093,0.12270603983046734,0.13015670849768443,0.1378869597806501,0.1457992450843255,0.15375424122046857,0.1615649453552971,0.168994669442987,0.17576197332776364,0.1815556501765091,0.18606166484392853,0.18900095714581497,0.19017255179730688,0.18949205149319434,0.18701391613048562,0.1829290258151797
0.13592359235923593,0.05386332461372261,0.05657717473342736,0.05948437767068639,0.06260146225264114,0.06594631488461605,0.06953819310155182,0.07339768728995484,0.07754660444226831,0.08200773765441308,0.0868044716185356,0.0919601569103418,0.09749716394191721,0.10343550117958973,0.10979085312152632,0.11657186578715702,0.1237764900520317,0.1313872027664974,0.13936499022703291,0.14764214030869985,0.15611420298743534,0.1646319981116088,0.17299529255807228,0.18095065276504374,0.188196726855493,0.1944002903149487,0.19922509029838698,0.20237232355284124,0.20362679643260628,0.20289814134641238,0.20024467211645489,0.19587077436684824
0.1449044904490449,0.05742223722216525,0.06031539974444273,0.06341469051846693,0.06673773048735775,0.07030358787314013,0.07413279262386771,0.07824729560678238,0.08267034468238672,0.08742623897242167,0.09253990828674939,0.0980362460682988,0.10393910083781221,0.11026980311286855,0.11704507374760857,0.12427413006375859,0.13195478757391826,0.1400683653372014,0.14857327188789907,0.15739732110418386,0.16642916151358442,0.17550975596533708,0.18442564099010852,0.19290663742990935,0.2006314815860313,0.20724493115455217,0.2123885154986278,0.21574368825250362,0.21708103744438384,0.2163042253251617,0.21347541985031687,0.20881251240766396
0.15388538853885392,0.06098114864126607,0.06405362353019772,0.06734500210642307,0.07087399742990862,0.07466085954049223,0.07872739080075586,0.08309690256046394,0.08779408355041746,0.09284473892095564,0.09827534360306345,0.10411233391100747,0.11038103647905344,0.11710410388161908,0.12429929333495592,0.13197639346935597,0.14013308444005812,0.14874952751844062,0.15778155347575767,0.16715250218477196,0.1767441207039384,0.18638751484525373,0.19585599073262477,0.20486262352630288,0.2130662375988433,0.220089572741632,0.22555194042782928,0.22911505113195532,0.2305352745931744,0.22971030304124015,0.2267061587867654,0.22175423924307738
0.16286628662866287,0.06454005879731192,0.06779184601475297,0.07127531235647315,0.0750102630002076,0.07901812980478852,0.08332198754882893,0.08794650806651402,0.09291782096132084,0.09826323741513714,0.10401077748368912,0.11018842035695063,0.11682297078787916,0.12393840341366526,0.13155351181918876,0.13967865594996526,0.14831138060980864,0.15743068928607604,0.1669898349860831,0.1769076835681338,0.18705908059966284,0.19726527481495862,0.20728634186683945,0.2168186111429423,0.22550099497339154,0.23293421512249754,0.2387153650691649,0.24248641207834268,0.24398950763950392,0.24311637410643483,0.23993688838048208,0.23469595417852643
0.17184718471847188,0.06809896761658965,0.0715300671221691,0.07520562119053563,0.07914652711816866,0.08337539858414507,0.08791658278469971,0.09279611204044722,0.09804155683005704,0.10368173437008836,0.10974620984483774,0.11626450532461126,0.12326490368652766,0.13077270163683125,0.1388077291359275,0.1473809174516024,0.15648967604252711,0.16611185061596867,0.17619811641435007,0.1866628652719391,0.19737404124192312,0.20814303593805175,0.2187166944739708,0.22877460036854486,0.23793575378913717,0.2457788583434554,0.2518787894058031,0.2558577709788046,0.2574437363438887,0.2565224381325209,0.25316760808613564,0.24763765651943617
0.18082808280828083,0.07165787502538606,0.07526828677650674,0.07913592853052882,0.08328278970370566,0.0877326657966779,0.09251117642498079,0.09764571439777785,0.10316529107158626,0.10910022970093124,0.11548164060272043,0.12234058873247175,0.12970683509723693,0.13760699847894067,0.14606194522079238,0.1550831779202832,0.16466797069757055,0.1747930114839793,0.1854063977560328,0.19641804731385726,0.20768900267188456,0.21902079827813253,0.2301470486352363,0.24073059129182667,0.25037051412553873,0.2586235024508083,0.26504221342090717,0.26922912772047247,0.2708979604668346,0.26992849473126107,0.2663983173583809,0.2605793455712173
