wavenumber_cm1,absorbance_input,experimental_transmittance,n_film,k_film,theoretical_transmittance,fresnel_correction_amplitude,transmittance_residual
600.0037,-0.0002,1.0004606230728403,1.691374550329635,0.0007387082489269597,1.0004606231728714,1.0003417121961236,-1.000310945187266e-10
600.2448,0.0002,0.9995395890030878,1.6916094420510328,0.003212305872035483,0.999539588604686,1.0002543755897286,3.984018670522005e-10
600.4858,0.0001,0.9997697679981565,1.6897992782642688,0.0026797133919321666,0.9997697682228248,1.0002893311445966,-2.2466828397682548e-10
600.7269,-0.0004,1.0009214583192958,1.690225731328787,-0.00044412885990558273,1.0009214579501655,1.0003935400586776,3.691302818964459e-10
600.968,-0.0008,1.001843765724026,1.6939585118109242,-0.003093472916190612,1.0018437659485167,1.0004538998094323,-2.2449064829288545e-10
601.209,-0.0007,1.001613109228309,1.6987820361220642,-0.0026977489045968382,1.001613108853652,1.000398353242328,3.7465697211302995e-10
601.4501,-0.0003,1.000691014168259,1.7021423614168871,-0.00039217798473428897,1.0006910144240302,1.0002861468478923,-2.5577118201169924e-10
601.6912,0.0001,0.9997697679981565,1.7034252150623856,0.002007163732423585,0.9997697676120347,1.000188414594937,3.861218011991241e-10
601.9323,0.0002,0.9995395890030878,1.7041780876156825,0.002584269138003043,0.9995395892851423,1.0001607081733903,-2.8205449087437273e-10
602.1733,0.0002,0.9995395890030878,1.7063819373811804,0.0024712718817851494,0.9995395886150423,1.0001437604824819,3.880454846338921e-10
602.4144,0.0004,0.9990793899844618,1.710493735994146,0.0034832161022099947,0.9990793902797828,1.000066855610191,-2.953209898848286e-10
602.6554,0.0012,0.9972407117415495,1.7144745525762777,0.00816155901800968,0.9972407113252184,0.9998546402250571,4.1633108072147706e-10
602.8965,0.0024,0.9944890371547921,1.7145119269599753,0.015499041500455554,0.9944890375178879,0.9995854672442714,-3.6309577566839835e-10
603.1375,0.0033,0.9924302650467774,1.7078425148891843,0.02142392743672262,0.9924302646329577,0.9994484323222149,4.1381975623977496e-10
603.3786,0.0027,0.993802305681118,1.69764366120764,0.018335785343458953,0.9938023060532437,0.9996721049239323,-3.721256636168846e-10
603.6196,0.0007,0.9983894887023276,1.694242861848023,0.006170535725248594,0.998389488343311,1.0001302117455793,3.590165942313206e-10
603.8607,-0.0011,1.0025360539605233,1.703314682427015,-0.005338398175935897,1.002536054229706,1.0004563346984556,-2.6918267614917113e-10
604.1018,-0.001,1.0023052380778996,1.7181952771721418,-0.005441460087426881,1.0023052376965655,1.0003251827942337,3.8133407542773057e-10
604.3428,0.0006,0.9986194028465246,1.7267570928737057,0.003807464684901083,0.9986194031537826,0.9998875388114025,-3.072579968232958e-10
604.5839,0.002,0.995405417351527,1.7258319005955576,0.012342217991324324,0.9954054168950561,0.9995728875142886,4.564708611098922e-10
604.825,0.0021,0.9951762431696444,1.722741109917727,0.013131743385512784,0.9951762435265454,0.9995785192011897,-3.5690106425789736e-10
605.066,0.0018,0.9958639240535894,1.7253305096470912,0.011150967448088517,0.9958639236031116,0.9996234680588744,4.5047776620066315e-10
605.3071,0.0022,0.9949471217509924,1.731642336712458,0.013181088668950803,0.9949471220918965,0.9994725382655402,-3.409040827406784e-10
605.5482,0.0035,0.9919733392390814,1.7354236534896217,0.02078042529435199,0.9919733387264444,0.9991334423477889,5.126369329033764e-10
605.7892,0.0046,0.9894640051300762,1.7329105384969818,0.02759171032831267,0.9894640055683575,0.998905531285412,-4.3828130014134103e-10
606.0303,0.0049,0.9887807436269282,1.729331437835192,0.02965006835028448,0.9887807431557277,0.9988753611777799,4.712005230445016e-10
606.2714,0.0049,0.9887807436269282,1.728539786168053,0.029694531510916812,0.9887807440887988,0.9988839236612297,-4.618705418124591e-10
606.5124,0.0053,0.987870462171174,1.729041525066132,0.03207181435019682,0.9878704617046703,0.9987876937401473,4.665037245388248e-10
